,jobTitle,companyName,location,date,page,job,salary
0,Data Scientist - CDI,Descartes Underwriting,75017 Paris,PostedOffre publiée il y a plus de 30 jours,14,210,
1,Senior Generative AI Data Scientist,Publicis Groupe,75008 Paris,PostedOffre publiée il y a 1 jour,14,211,
2,Data Scientist H/F,Kaizzen,Télétravail à Marseille (13)+11 locations,EmployerEmployeur actif il y a 3 jours,14,212,À partir de 30 000 € par an
3,Data Analyst Epargne (H/F),Generali France,93200 Saint-Denis,PostedOffre publiée il y a 17 jour,14,213,
4,Data Scientist Energy Consultant,WeSmart,Paris (75),PostedOffre publiée il y a plus de 30 jours,14,214,
5,DATA SCIENTIST-MLOPS F/H,Swiss Life,Levallois-Perret (92),PostedOffre publiée il y a plus de 30 jours,14,215,
6,Data Scientist,Aosis,Massy (91),PostedOffre publiée il y a plus de 30 jours,14,216,
7,DATA ANALYST SANTE H/F,Chela+,94100 Paris,PostedOffre publiée il y a plus de 30 jours,14,217,
8,Data scientist - Full Remote,Urban Linker,Télétravail à Paris (75),PostedOffre publiée il y a plus de 30 jours,14,218,
9,Senior Data Scientist,Thomas Mazieres,75015 Paris 15e,EmployerEmployeur actif il y a 25 jours,14,219,De 50 000 € à 80 000 € par an
10,Data Scientist,AZAP,Paris (75),PostedOffre publiée il y a plus de 30 jours,14,220,
11,Senior Data Scientist - All Gender,Sanofi,Paris (75),PostedOffre publiée il y a plus de 30 jours,14,221,
12,Medical Biostatistics and Data science specialist H/F,Roche,Paris (75),PostedOffre publiée il y a plus de 30 jours,14,222,
13,Junior Data Scientist – Semiconductor Manufacturing,Langton Howarth,Paris (75),PostedOffre publiée il y a plus de 30 jours,14,223,
14,Data scientist H/F - Ancenis / Nantes (IT) / Freelance,LeHibou,44150 Ancenis,PostedOffre publiée il y a 5 jour,14,224,500 € par jour
15,DATA SCIENCE ENGINEER,Amadeus,Nice (06),PostedOffre publiée il y a 12 jour,15,225,
16,Data Analyst Operations intern (M/F/X),HelloFresh,Paris (75),PostedOffre publiée il y a 19 jour,15,226,
17,Data Scientist (IT) / Freelance,SKIILS SAS,Paris (75),PostedOffre publiée il y a plus de 30 jours,15,227,
18,Data Scientist H/F – CDI,Viatris,Lyon (69),PostedOffre publiée il y a plus de 30 jours,15,228,
19,Data analyst - Stage H/F - Paris,Refectory,75011 Paris,PostedOffre publiée il y a 2 jour,15,229,
20,Data analyst (F/H),BAYARD,92120 Montrouge,PostedAujourd'hui,15,230,
21,Data Science / AI Engineer,Schlumberger,Clamart (92),PostedOffre publiée il y a 2 jour,15,231,
22,DATA SCIENTIST F/H EN STAGE,Carrefour,Massy (91),PostedOffre publiée il y a 13 jour,15,232,
23,"Data Ingénieur / Data Science (F/H) – Paris, Nantes ou Aix-en-Provence",BPCE Solutions Informatiques,Paris (75),PostedOffre publiée il y a plus de 30 jours,15,233,
24,Data Analyst,Fideliz,75009 Paris,PostedOffre publiée il y a plus de 30 jours,15,234,
25,ALTERNANCE - Data Analyst - F/H,TotalEnergies,Courbevoie (92),PostedOffre publiée il y a plus de 30 jours,15,235,
26,Data Scientist Confirmé·e,Soyhuce,Paris (75),PostedOffre publiée il y a plus de 30 jours,15,236,
27,Data Analyst (H/F),GIDE,75008 Paris,EmployerEmployeur actif il y a 7 jours,15,237,
28,DATA ANALYST - H/F,Banque de France,93120 La Courneuve,PostedOffre publiée il y a 5 jour,15,238,
29,Solar Data Analyst/Senior Data Analyst (Remote or France),Envision Digital,Paris (75),PostedOffre publiée il y a 3 jour,15,239,
30,Data Scientist H/F KPOSDS2,Kaisens Data,94120 Fontenay-sous-Bois,EmployerEmployeur actif il y a 6 jours,16,240,De 38 000 € à 48 000 € par an
31,Data Analyst H/F,Primeum,92300 Levallois-Perret,EmployerEmployeur actif il y a 3 jours,16,241,
32,Data Analyst Confirmé(e) F/H,Evoteo,Lyon 7e (69),PostedOffre publiée il y a 6 jour,16,242,De 37 000 € à 46 000 € par an
33,Analyste de Données / Statisticien H/F H/F,Crédit Agricole Assurances,Télétravail hybride à 75015 Paris,PostedOffre publiée il y a plus de 30 jours,16,243,
34,Data scientist / Web design,Systemathics,78380 Bougival,PostedOffre publiée il y a plus de 30 jours,16,244,
35,DATA SCIENTIST EN STAGE F/H,Carrefour,Massy (91),PostedOffre publiée il y a 14 jour,16,245,
36,Une/Un Data Scientist Jeune Docteur,DialOnce,Télétravail hybride à 75001 Paris,PostedOffre publiée il y a 5 jour,16,246,
37,ALTERNANCE - Client Data Platform Business Analyst H/F,Chanel,Paris (75),PostedOffre publiée il y a plus de 30 jours,16,247,
38,Consultant Data Analyst (H-F),Arcane,75010 Paris 10e,EmployerEmployeur actif il y a 10 jours,16,248,De 40 000 € à 55 000 € par an
39,Risk Data Analyst H/F,LCL,94811 Villejuif,PostedOffre publiée il y a 27 jour,16,249,
40,Data scientist / Développement projets IA - Stage H/F,Assystem,92400 Courbevoie,PostedOffre publiée il y a 11 jour,16,250,
41,Stage - Data Analyst junior - Bac + 4/5 - (92 - Rueil Malmaison) - H/F,Schneider Electric,Rueil-Malmaison (92),PostedOffre publiée il y a 10 jour,16,251,
42,Data Analyst H/F - Paris,AVISIA,75016 Paris+2 locations,PostedOffre publiée il y a plus de 30 jours,16,252,
43,Data Analyst H/F,DECILIA,Télétravail hybride à 92100 Boulogne-Billancourt+1 location,EmployerEmployeur actif il y a 7 jours,16,253,De 38 000 € à 45 000 € par an
44,Ingénieur Data Scientist F/H,Orano,La Hague (50),PostedOffre publiée il y a plus de 30 jours,16,254,
45,Data Scientist – H/F,ACE DIGITALe,Lyon (69),PostedOffre publiée il y a plus de 30 jours,17,255,
46,Stage Data analyst H/F,AMF,Paris (75),PostedOffre publiée il y a 5 jour,17,256,
47,Experienced Data Scientist,Voodoo,Télétravail hybride à Paris (75),PostedOffre publiée il y a plus de 30 jours,17,257,
48,Stage - Data Scientist/IA (H/F),Atos,31300 Toulouse,PostedOffre publiée il y a 19 jour,17,258,
49,"Data analyst, en alternance",TD SYNNEX,Bussy-Saint-Georges (77),PostedOffre publiée il y a 7 jour,17,259,
50,Data Analyst (F/M),Axens,Rueil-Malmaison (92),PostedOffre publiée il y a 10 jour,17,260,
51,Data Scientist (H/F),KUBIC,60000 Beauvais,PostedOffre publiée il y a plus de 30 jours,17,261,De 35 000 € à 50 000 € par an
52,Data Scientist Senior,Soyhuce,Paris (75),PostedOffre publiée il y a 13 jour,17,262,
53,DATA ANALYST INDEMNISATION CDI H/F,Gan Assurances,Télétravail hybride à 92000 Nanterre,PostedOffre publiée il y a plus de 30 jours,17,263,
54,Data Analyst - Python / SQL (H/F),AFDAS,75020 Paris 20e,PostedOffre publiée il y a 5 jour,17,264,
55,Data Analyst H/F,LSA COURTAGE,Télétravail hybride à 92500 Rueil-Malmaison,EmployerEmployeur actif il y a 3 jours,17,265,34 000 € par an
56,Underwriting Data Scientist - Intern,Descartes Underwriting,75017 Paris,PostedOffre publiée il y a plus de 30 jours,17,266,
57,Data Scientist H/F – Axima Réfrigération – 44,Equans,44000 Nantes+3 locations,PostedOffre publiée il y a plus de 30 jours,17,267,
58,Consultant.e Data Scientist,Softeam,Paris (75),PostedOffre publiée il y a plus de 30 jours,17,268,
59,Data Analyst (H/F),LFP Media,Télétravail hybride à 75009 Paris,PostedOffre publiée il y a plus de 30 jours,17,269,
60,Data Analyst référentiel tiers F/H,Bpifrance,94710 Maisons-Alfort,PostedOffre publiée il y a 25 jour,18,270,
61,DATA analyste informatiqueE DATAIKU (IT) / Freelance,BEEZEN,93100 Montreuil,PostedOffre publiée il y a 6 jour,18,271,400 € par jour
62,STAGE – Business Data Analyst (H/F) – AUDI,Volkswagen Group,Roissy-en-France (95),PostedOffre publiée il y a 12 jour,18,272,1 200 € par mois
63,Data Analyst H/F,Edenred,Télétravail hybride à Malakoff (92),PostedOffre publiée il y a plus de 30 jours,18,273,
64,Data scientist / Data engineer,Logigroup,Paris (75),PostedOffre publiée il y a plus de 30 jours,18,274,
65,Data Analyst (H/F),INFOGENE,Paris (75),PostedOffre publiée il y a 12 jour,18,275,De 48 000 € à 60 000 € par an
66,Research Intern - Data Scientist NLP,Crowdsec,Télétravail,PostedOffre publiée il y a plus de 30 jours,18,276,
67,#ET11A Vibration Health Data Analyst (f/m),Airbus,13700 Marignane,PostedOffre publiée il y a 2 jour,18,277,
68,Data Analyst - Connaissance Client B2B - H/F,Nestle,75015 Paris 15e,PostedOffre publiée il y a plus de 30 jours,18,278,
69,Consultant - Data & Process Analytics,Celonis SE,Paris (75),PostedPublié à l'instant,18,279,
70,Data analyst | Deals (M&A) | CDI | H/F,PwC,Lyon (69)+1 location,PostedOffre publiée il y a 12 jour,18,280,
71,Data Analyst H/F,SONOVA,Paris (75),PostedOffre publiée il y a plus de 30 jours,18,281,De 4 000 € à 5 200 € par mois
72,INVENTORY DATA ANALYST,Collins Aerospace,Saint-Ouen-l'Aumône (95),PostedOffre publiée il y a 4 jour,18,282,
73,Database Administrator / Data Analyst (Apprentice) M/F,Motul,Saint-Denis (93),PostedOffre publiée il y a plus de 30 jours,18,283,
74,Data Scientist H/F,Himydata,Uckange (57)+1 location,EmployerEmployeur actif il y a 4 jours,18,284,De 35 670 € à 75 992 € par an
75,Data Analyst Export,Le Groupe La Poste,Paris (75),PostedOffre publiée il y a plus de 30 jours,19,285,
76,Data Scientist confirmé-e - Services F/H,Safran,Saclay (91),PostedOffre publiée il y a plus de 30 jours,19,286,
77,Data Scientist H/F,Groupe CCPA,Télétravail hybride à 35150 Janzé,EmployerEmployeur actif il y a 3 jours,19,287,
78,Data analytics engineer (IT) / Freelance,Cherry Pick,Paris (75),PostedOffre publiée il y a 4 jour,19,288,De 470 € à 520 € par jour
79,Data Scientist Lead (F/M/X),Mars,34000 Montpellier,PostedOffre publiée il y a plus de 30 jours,19,289,
80,Data scientist / Chargé(e) d'études responsable du baromètre de satisfaction allocataires et du travail social F/H,La Sécu recrute,Paris 14e (75),PostedOffre publiée il y a 4 jour,19,290,À partir de 42 600 € par an
81,Data Analyst H/F,Finegan,Paris (75),EmployerEmployeur actif il y a 4 jours,19,291,De 45 000 € à 55 000 € par an
82,Intern Data Analyst,Artefact,75009 Paris,PostedOffre publiée il y a plus de 30 jours,19,292,
83,Consultant Tableau - Data Analyst H/F,Actinvision,75004 Paris 4e+1 location,EmployerEmployeur actif il y a 3 jours,19,293,De 42 000 € à 65 000 € par an
84,Data analyst / Statisticien(ne) H/F,Cramif,Paris 19e (75),PostedOffre publiée il y a plus de 30 jours,19,294,À partir de 33 607 € par an
85,Data Analyst (H/F),Stago,Asnières-sur-Seine (92),PostedOffre publiée il y a plus de 30 jours,19,295,
86,Stage de Pré-embauche - Data Science - Sport Management H/F,TRIMANE,92800 Puteaux,EmployerEmployeur actif il y a 4 jours,19,296,1 000 € par mois
87,CONSULTANT DATA ANALYSTE,Kéoni Consulting,Paris (75),EmployerEmployeur actif il y a 11 jours,19,297,De 2 000 € à 4 000 € par mois
88,Alternance Data Analyst (F/H/X),Gutenberg,92100 Boulogne-Billancourt,EmployerEmployeur actif il y a 3 jours,19,298,
89,Data Analyst,Clémentine,Télétravail hybride à 75009 Paris,PostedOffre publiée il y a plus de 30 jours,19,299,
90,Data scientist H/F - Innovation numérique,Polyconseil,Paris (75),PostedOffre publiée il y a plus de 30 jours,20,300,
91,Data Analyst,KOMEET TECHNOLOGIES,Paris (75),PostedOffre publiée il y a plus de 30 jours,20,301,De 40 000 € à 65 000 € par an
92,Data Analyst - Alternance / Janv. 24,Simundia,Télétravail hybride à 75010 Paris,PostedOffre publiée il y a 24 jour,20,302,
93,Senior Data Scientist,Heetch,Télétravail hybride à Paris (75),PostedOffre publiée il y a 3 jour,20,303,
94,Data Analyst apprenticeship,Procter & Gamble,Paris (75),PostedOffre publiée il y a 20 jour,20,304,
95,Data Analyst F/H,ONEY,Croix (59),PostedOffre publiée il y a 23 jour,20,305,
96,Consultant junior Data & Analytics (H/F),BearingPoint France,Télétravail hybride à 92400 Courbevoie,PostedOffre publiée il y a plus de 30 jours,20,306,
97,Data Scientist - stage de fin d'études en pré-embauche F/H,VINCI Construction,Nanterre (92),PostedOffre publiée il y a plus de 30 jours,20,307,
98,Alternance - Data Analyst (h/f) - Val de Fontenay (94),Banque Palatine,Fontenay-sous-Bois (94),PostedOffre publiée il y a 4 jour,20,308,
99,PMO & Engineering Data Analyst,Thales,94150 Rungis,PostedOffre publiée il y a plus de 30 jours,20,309,
100,Data Analyst H/F,Synopsia,75002 Paris 2e,EmployerEmployeur actif il y a 3 jours,20,310,De 38 000 € à 60 000 € par an
101,Data Analyst Confirmé - M/F/NB (CDI),Click&Boat,Télétravail hybride à 92100 Boulogne-Billancourt,PostedOffre publiée il y a 5 jour,20,311,
102,Senior - Manager Data Scientist/ML Engineer (H/F),Niji,92130 Issy-les-Moulineaux,PostedOffre publiée il y a plus de 30 jours,20,312,
103,DATA SCIENTIST (H/F),MyCommunIT,75002 Paris,PostedOffre publiée il y a plus de 30 jours,20,313,De 60 000 € à 70 000 € par an
104,Consultante - Consultant Data Scientist F/H,Valoway,44200 Nantes+2 locations,PostedOffre publiée il y a plus de 30 jours,20,314,De 40 000 € à 60 000 € par an
