,jobTitle,companyName,location,date,page,job,salary
0,Data Scientist H/F,Aon Corporation,Paris (75)+1 location,PostedOffre publiée il y a plus de 30 jours,0,0,
1,Alternance - Data Scientist F/H,BPCE SA,Paris (75),PostedOffre publiée il y a plus de 30 jours,0,1,
2,Data Scientist Industriel F/H,Framatome,Lyon (69),PostedOffre publiée il y a plus de 30 jours,0,2,De 55 000 € à 70 000 € par an
3,Analyste de données H/F,Peroptyx,Télétravail à Télétravail+1 location,EmployerEmployeur actif il y a 3 jours,0,3,"À partir de 14,50 € de l’heure"
4,Consultant(e) Junior/Senior Data Scientist secteur Banque/Assurance - CDI (H/F),Nexialog,Paris (75),PostedOffre publiée il y a plus de 30 jours,0,4,À partir de 43 000 € par an
5,Data Scientist - BCG X,Boston Consulting Group,75007 Paris,PostedOffre publiée il y a plus de 30 jours,0,5,
6,Data Scientist - COPERNEEC,Coperneec,Paris (75),PostedOffre publiée il y a plus de 30 jours,0,6,
7,Data Analyste risque de crédit F/H,BPCE SEF,Paris (75),PostedOffre publiée il y a 4 jour,0,7,
8,Analyste des données - H/F,Caisse des Dépôts et Consignations,Paris (75),PostedOffre publiée il y a 1 jour,0,8,
9,Data Scientist (H/F),Dassault Systèmes,Vélizy-Villacoublay (78),PostedOffre publiée il y a 3 jour,0,9,
10,Data Analyst - Editeur de logiciels Big data leader sur son domaine - Fixe + bonus déplafonné - H/F,L2C,Paris (75),PostedOffre publiée il y a plus de 30 jours,0,10,65 000 € par an
11,Data Scientist/Analyst - R - Confirme - H/F,Capgemini,Courbevoie (92),PostedOffre publiée il y a 2 jour,0,11,
12,CDI - Data Scientist (F/H),Sephora,Neuilly-sur-Seine (92),PostedOffre publiée il y a 16 jour,0,12,
13,Data Scientist - Artificial Intelligence - IBM France (H/F),IBM,Strasbourg (67),PostedOffre publiée il y a 2 jour,0,13,
14,Data Scientist / AI Vision,Stereolabs,75014 Paris,PostedOffre publiée il y a 13 jour,0,14,
15,Data Analyst Département Innovation DPS (H/F),Caisse des Dépôts et Consignations,33300 Bordeaux,PostedOffre publiée il y a plus de 30 jours,1,15,
16,Data Scientist confirmé F/H,Bouygues Telecom,92360 Meudon,PostedOffre publiée il y a plus de 30 jours,1,16,
17,Data Scientist H/F,GESER BEST,Boulogne-Billancourt (92),PostedOffre publiée il y a 4 jour,1,17,47 500 € par an
18,Junior Data Scientist,Systemathics,Paris (75),PostedOffre publiée il y a plus de 30 jours,1,18,
19,Generative AI Data Scientist,Publicis Re:Sources Global,75011 Paris,PostedOffre publiée il y a 1 jour,1,19,
20,Data Scientist H/F,CLAMAE GROUP,75002 Paris 2e,EmployerEmployeur actif il y a 3 jours,1,20,De 50 000 € à 55 000 € par an
21,Data scientist F/H,Fnac Darty,94200 Ivry-sur-Seine,PostedOffre publiée il y a 23 jour,1,21,
22,Data Scientist (H/F/X),GESER BEST,92100 Boulogne-Billancourt,PostedOffre publiée il y a 5 jour,1,22,De 40 000 € à 55 000 € par an
