,jobTitle,companyName,location,date,page,job,salary
0,Lead data scientist F/H,BOUYGUES TELECOM,Meudon (92),PostedOffre publiée il y a 17 jour,21,315,
1,consultant informatique (H/F/Y) Data scientist (IT) / Freelance,HOXTON PARTNERS,Télétravail hybride à Paris (75),PostedOffre publiée il y a 4 jour,21,316,De 300 € à 400 € par jour
2,CONSULTANT DATA ANALYTICS,Kéoni Consulting,Paris (75),EmployerEmployeur actif il y a 11 jours,21,317,De 2 000 € à 4 000 € par mois
3,DATA ANALYST F/H,AG2R La Mondiale,Paris (75),PostedOffre publiée il y a plus de 30 jours,21,318,
4,Data Analyst,Brodard Executive Search,Paris (75),PostedOffre publiée il y a plus de 30 jours,21,319,
5,Data analyste (H/F),SYSTRA,75015 Paris,PostedOffre publiée il y a plus de 30 jours,21,320,
6,Consultant Data Visualization & Analytics - PARIS F/H,ACSSI,Télétravail hybride à Paris 9e (75),PostedOffre publiée il y a 7 jour,21,321,
7,Senior Data Scientist F/H,Cleyrop,Télétravail hybride à 75009 Paris,PostedOffre publiée il y a plus de 30 jours,21,322,De 60 000 € à 80 000 € par an
8,Data Scientist F/H,D3S,38000 Grenoble,PostedOffre publiée il y a 7 jour,21,323,
9,Data Scientist & Engineer (IT) / Freelance,INSYCO,Paris (75),PostedOffre publiée il y a 6 jour,21,324,
10,Data Scientist H/F,Solutec,31400 Toulouse,PostedOffre publiée il y a plus de 30 jours,21,325,
11,Data Analyst H/F,Breakers Consulting,Paris (75),EmployerEmployeur actif il y a 5 jours,21,326,De 50 000 € à 63 000 € par an
12,Data Scientist H/F,Viveris,Télétravail hybride à 67000 Strasbourg+1 location,PostedOffre publiée il y a 27 jour,21,327,
13,consultant informatique Data Science (IT) / Freelance,Symbioz Technology,Paris (75),PostedOffre publiée il y a plus de 30 jours,21,328,De 400 € à 550 € par jour
14,Référent Data scientist du réseau IP F/H,Bouygues Telecom,Télétravail hybride à 92360 Meudon,PostedOffre publiée il y a plus de 30 jours,21,329,
15,Alternant Data Analyst (F/H/X),INFOPRO DIGITAL,Antony (92),PostedOffre publiée il y a 16 jour,22,330,
16,Stage Data Scientist / Data Analyst H/F,Valeo,Cergy-Pontoise (95),PostedOffre publiée il y a plus de 30 jours,22,331,
17,STAGE - Data Scientist - Transportation and Mobility (H/F),Dassault Systèmes,Vélizy-Villacoublay (78),PostedOffre publiée il y a 27 jour,22,332,
18,Data Analyst H/F,SPIE,Cergy (95),PostedOffre publiée il y a plus de 30 jours,22,333,
19,Consultant DATASCIENCE & ENGINEERING,Kéoni Consulting,Paris (75),EmployerEmployeur actif il y a 3 jours,22,334,De 2 000 € à 4 000 € par mois
20,Data Analyst (H/F),Ankama,59100 Roubaix,PostedOffre publiée il y a 2 jour,22,335,
21,DATA ANALYST - LYON H/F,Groupama Rhône Alpes Auvergne,Télétravail hybride à Lyon (69),PostedOffre publiée il y a 19 jour,22,336,
22,"STAGE – Data Scientist, Machine Learning – F/H",Thales,31000 Toulouse,PostedOffre publiée il y a 16 jour,22,337,
23,"Ingénieur IA, Data Analyse",Scalian,Paris (75),PostedOffre publiée il y a plus de 30 jours,22,338,
24,Data Analyst Intern - Buy Now Pay Later,PayPal,Paris (75),PostedOffre publiée il y a plus de 30 jours,22,339,
25,STAGE- Data Scientist & Data Analyst - F/H,Thales,31000 Toulouse,PostedOffre publiée il y a 12 jour,22,340,
26,DATA ANALYST TECHNIQUE H/F - CDD,Gan Assurances,Télétravail hybride à Nanterre (92),PostedOffre publiée il y a 9 jour,22,341,
27,Stagiaire Data Scientist,Fretbay,Paris (75),PostedOffre publiée il y a plus de 30 jours,22,342,
28,STAGIAIRE ACTUARIAT & DATA SCIENCE F/H,KPMG,Courbevoie (92),PostedOffre publiée il y a 16 jour,22,343,
29,AI Research Scientist - Computer Vision and Machine Learning (Paris),Meta,Paris (75),PostedOffre publiée il y a 17 jour,22,344,
30,Data Scientist (H/F),Extia,Strasbourg (67),PostedOffre publiée il y a plus de 30 jours,23,345,
31,Data Analyst Intern,Aircall,Paris (75),PostedOffre publiée il y a plus de 30 jours,23,346,
32,Consultant BI / Data Analyst,Aldecis,75011 Paris 11e,EmployerEmployeur actif il y a 10 jours,23,347,À partir de 40 000 € par an
33,RISK DATA SCIENTIST - MODELISATEUR RISQUE DE CREDIT - H/F,Crédit Agricole Leasing & Factoring,Montrouge (92),PostedOffre publiée il y a plus de 30 jours,23,348,
34,Consultant(e) Data Analyst,SOCIO DATA MANAGEMENT,Paris (75),PostedOffre publiée il y a plus de 30 jours,23,349,
35,STAGE – DATA SCIENCE NOUVELLES STRATEGIES D’EMBEDDINGS EN NLP – H/F,CHAPS VISION,Paris (75),PostedOffre publiée il y a 6 jour,23,350,
36,DATA SCIENTIST H/F,Chela+,Beauvais (60),PostedOffre publiée il y a plus de 30 jours,23,351,
37,Data Scientist - 6 mois renouvelable - Villeneuve-d’Ascq (IT) / Freelance,NextLink Solutions,59491 Villeneuve-d'Ascq,PostedOffre publiée il y a 11 jour,23,352,De 400 € à 550 € par jour
38,SAINT LAURENT Data Analyst M/W,Groupe Kering,Paris (75),PostedOffre publiée il y a plus de 30 jours,23,353,
39,Alternance - Data Analyst F/H,Fnac Darty,94200 Ivry-sur-Seine,PostedOffre publiée il y a plus de 30 jours,23,354,
40,STAGE – DATA SCIENCE FRONT – H/F,CHAPS VISION,Paris (75),PostedOffre publiée il y a 6 jour,23,355,
41,STAGES PRE EMBAUCHE CONSULTANT DATA SCIENCE H-F,SQORUS,Télétravail hybride à 75009 Paris,PostedOffre publiée il y a 5 jour,23,356,
42,Data Analyst H/F,Anderson RH,78280 Guyancourt,PostedOffre publiée il y a 6 jour,23,357,
43,Data Analyst Régie Publicitaire - H/F,E.Leclerc,94200 Ivry-sur-Seine,PostedOffre publiée il y a plus de 30 jours,23,358,
44,Alternance - Data Scientist H/F,Edenred,Malakoff (92),PostedOffre publiée il y a plus de 30 jours,23,359,
45,Responsable Data Analyst H/F,Genius Career,Paris 8e (75),EmployerEmployeur actif il y a 3 jours,24,360,De 28 611 € à 75 273 € par an
