,jobTitle,companyName,location,date,page,job,salary
0,BUSINESS DATA ANALYST (H/F),BPCE Payment Services,Charenton-le-Pont (94),PostedOffre publiée il y a plus de 30 jours,42,630,
1,Manager Data Analytics| CDI | H/F,PwC,Neuilly-sur-Seine (92),PostedOffre publiée il y a plus de 30 jours,42,631,
2,Junior Analytics Engineer - Data Pro Supply,BlaBlaCar,Télétravail à Paris (75),PostedOffre publiée il y a 30 jour,42,632,
3,Data Analyst,Asteria Monaco,Monaco (06),PostedOffre publiée il y a plus de 30 jours,42,633,
4,Data analyste informatique - Talend (IT) / Freelance,Symbioz Technology,Paris (75),PostedOffre publiée il y a plus de 30 jours,42,634,De 400 € à 550 € par jour
5,Music Data Analyst (H/F),Believe,Paris (75),PostedOffre publiée il y a 30 jour,42,635,
6,Enseignant(e) en Data Analyse et Big Data (H/F),Institut GoldenCollar,Télétravail à 75013 Paris 13e,EmployerEmployeur actif il y a 4 jours,42,636,À partir de 35 € de l’heure
7,Stage : Data Analyst (h/f),Signify,92156 Suresnes,EmployerEmployeur actif il y a 6 jours,42,637,De 1 100 € à 1 300 € par an
8,Senior Data Analyst (H/F),Axys Consultants,Télétravail hybride à 92300 Levallois-Perret,PostedOffre publiée il y a plus de 30 jours,42,638,
9,Data Quality Analyst (H/F),Chateauform,Saint-Ouen (93),PostedOffre publiée il y a 23 jour,42,639,35 000 € par an
10,Data Analyst - Leader Mondial sur son marché - TOP START-UP FRANCAISE - NEXT40 - 45K-55K,Data Recrutement,Télétravail hybride à Paris (75),PostedOffre publiée il y a plus de 30 jours,42,640,De 45 000 € à 55 000 € par an
11,Data Scientist NLP & Images (H/F),Ouest France,Rennes (35),PostedOffre publiée il y a plus de 30 jours,42,641,
12,Consultant Data Scientist - Banque et Assurance - Paris H/F,Michael Page,Paris (75),PostedOffre publiée il y a plus de 30 jours,42,642,
13,Financial Data Analyst H/F,VAKOM,Paris 15e (75),EmployerEmployeur actif il y a 6 jours,42,643,De 40 000 € à 50 000 € par an
14,"Pilote Métrique Logiciel, Data Science",Renault Group,Toulouse (31),PostedOffre publiée il y a plus de 30 jours,42,644,
15,DATA ANALYST (H/F),EDYCEM,Montaigu (85),PostedOffre publiée il y a 5 jour,43,645,
16,Data Analyst H/F,Betclic Group,Télétravail à 33300 Bordeaux,PostedOffre publiée il y a 17 jour,43,646,
17,Data Analyst (Lille),CENOVA,Télétravail hybride à 59700 Marcq-en-Barœul,EmployerEmployeur actif il y a 3 jours,43,647,
18,DATA Analyst H/F,Leasecom,Télétravail hybride à Carquefou (44),PostedOffre publiée il y a 6 jour,43,648,
19,Stage en Intelligence Artificielle & Data Science appliquée aux opérations avions (f/h),Airbus,31707 Blagnac,PostedOffre publiée il y a 18 jour,43,649,
20,Stagiaire Data Scientist imagerie H/F,IFIP - Institut du porc,35650 Le Rheu,EmployerEmployeur actif il y a 4 jours,43,650,
21,Data Analyste Sportfire F/H,GESER BEST,Niort (79),PostedOffre publiée il y a 8 jour,43,651,
