,jobTitle,companyName,location,date,page,job,salary
0,STAGE - Data Scientist (F/H) - NETVIBES,Dassault Systèmes,Paris (75),PostedOffre publiée il y a 25 jour,7,105,
1,DATA SCIENTIST (IT) / Freelance,OCSI,Paris (75),PostedOffre publiée il y a 30 jour,7,106,
2,Data Scientist,Franfinance,Télétravail hybride à Nanterre (92),PostedOffre publiée il y a plus de 30 jours,7,107,
3,Data Scientist chargé de modélisation en fiabilité et comportement moteur en exploitation F/H F/H,Safran,Montereau-sur-le-Jard (77),PostedOffre publiée il y a 10 jour,7,108,
4,Data analysts H/F,Sepur,Télétravail hybride à 92000 Nanterre+2 locations,PostedOffre publiée il y a 25 jour,7,109,De 20 000 € à 30 000 € par an
5,Stagiaire Data Scientist H/F,SmartOp SAS,Télétravail à Télétravail,PostedOffre publiée il y a plus de 30 jours,7,110,1 200 € par mois
6,STAGE – Data Scientist - ENOVIA R&D (F/H),Dassault Systèmes,Vélizy-Villacoublay (78),PostedOffre publiée il y a 11 jour,7,111,
7,STAGE - Data Scientist - Industry Intelligence (H/F) - Mars 2024,Dassault Systèmes,Vélizy-Villacoublay (78),PostedOffre publiée il y a plus de 30 jours,7,112,
8,Data Scientist,Happy Hire,35000 Rennes,PostedOffre publiée il y a 5 jour,7,113,De 40 000 € à 43 000 € par an
9,Data Scientist Intern (M/F/X),Reveal,75009 Paris,PostedOffre publiée il y a 16 jour,7,114,
10,Data Scientist Paris/Ile-de-France H/F,JEMS S.A,92200 Neuilly-sur-Seine,PostedOffre publiée il y a plus de 30 jours,7,115,
11,CDI- Senior Data Scientist (H/F) - Gif-sur-Yvette (91),Danone,91190 Gif-sur-Yvette,PostedOffre publiée il y a 18 jour,7,116,
12,ALTERNANCE - DATA SCIENTIST (F/H),Carrefour,Évry (91),PostedOffre publiée il y a plus de 30 jours,7,117,
13,DATA ANALYST N6/7 selon profil- H/F,La Sécu recrute,Paris (75),PostedOffre publiée il y a 23 jour,7,118,De 33 607 € à 40 000 € par an
14,Data Analyst H/F,Ville de Paris,Télétravail hybride à 75004 Paris 4e,EmployerEmployeur actif il y a 11 jours,7,119,
15,DATA SCIENTIST,Aquila Data Enabler,92400 Courbevoie,PostedOffre publiée il y a plus de 30 jours,8,120,
16,Stagiaire (H/F) Data Scientist,SUEZ,78290 Croissy-sur-Seine,PostedOffre publiée il y a plus de 30 jours,8,121,
17,Data Scientist - Intern,Descartes Underwriting,75017 Paris,PostedOffre publiée il y a plus de 30 jours,8,122,
18,Data Scientist H/F - Paris,AVISIA,75116 Paris+1 location,PostedOffre publiée il y a plus de 30 jours,8,123,
19,Data Scientist Energétique,WeSmart,Paris (75),PostedOffre publiée il y a plus de 30 jours,8,124,De 45 000 € à 65 000 € par an
20,Data Analytics - Researcher/Data Scientist - Internship,Capital Management Fund,Paris (75),PostedOffre publiée il y a 25 jour,8,125,
21,ALTERNANCE - Data Analyst Paiement H/F - SNCF Voyageurs,SNCF,93210 Saint-Denis,PostedOffre publiée il y a 19 jour,8,126,
22,Data Scientist NLP- LLM F/H,whoz,Télétravail hybride à 75008 Paris,PostedOffre publiée il y a plus de 30 jours,8,127,
23,DATA SCIENTIST F/H,Orano,78180 Montigny-le-Bretonneux,PostedOffre publiée il y a plus de 30 jours,8,128,
24,Data Analyst Intern - France,Electra,75017 Paris,PostedOffre publiée il y a 5 jour,8,129,
25,Senior Data Scientist (H/F),Chanel,Paris (75),PostedOffre publiée il y a 6 jour,8,130,
26,[CDI] Data Analyst Junior F/H,Wunderman Thompson,Lille (59),PostedOffre publiée il y a 4 jour,8,131,
27,DATA SCIENTIST NLP,Aquila Data Enabler,92400 Courbevoie,PostedOffre publiée il y a plus de 30 jours,8,132,
28,SAINT LAURENT Data Analyst Internship H/F,Groupe Kering,Paris (75),PostedOffre publiée il y a plus de 30 jours,8,133,
29,ALTERNANT(E) – DATA SCIENTIST H/F,Lefebvre Sarrut,Levallois-Perret (92),PostedOffre publiée il y a plus de 30 jours,8,134,
30,Data Scientist,Data Recrutement,Télétravail à Paris (75),PostedOffre publiée il y a plus de 30 jours,9,135,De 50 000 € à 65 000 € par an
31,Data scientist/Data analyste informatique (IT) / Freelance,Groupe ASTEK,92100 Boulogne-Billancourt,PostedOffre publiée il y a plus de 30 jours,9,136,De 400 € à 570 € par jour
32,ANALYSTE DATA QUALITÉ - PARIS (F/H),CNAV,Paris (75)+1 location,PostedOffre publiée il y a 3 jour,9,137,De 40 000 € à 48 000 € par an
33,Analyste Quantitatif / Data Scientist H/F,Crédit Agricole S.A.,Montrouge (92),PostedOffre publiée il y a plus de 30 jours,9,138,
34,Data Scientist,Harnham,Paris (75),PostedOffre publiée il y a plus de 30 jours,9,139,De 50 000 € à 65 000 € par an
35,Data Analyst H/F,GIEA,75002 Paris,EmployerEmployeur actif il y a 10 jours,9,140,
36,ALTERNANCE - ALTERNANCE - Data Scientist finance HData Scientist finance F/H,Dogfinance,Paris 1er (75),PostedOffre publiée il y a 8 jour,9,141,
37,Data Scientist (IT) / Freelance,BLOOMAYS,92230 Gennevilliers,PostedOffre publiée il y a 30 jour,9,142,
38,CDI - Global Finance Data Analyst (W/M),Sephora,Neuilly-sur-Seine (92),PostedOffre publiée il y a 29 jour,9,143,
39,Data Scientist (IT) / Freelance,Trait d'Union Consulting,Paris (75),PostedOffre publiée il y a 28 jour,9,144,
40,Data Scientist - Stage H/F,ECP - Euro Contrôle Projet,Courbevoie (92),PostedOffre publiée il y a 10 jour,9,145,
41,Data Scientist,Adevinta,Paris (75),PostedOffre publiée il y a plus de 30 jours,9,146,
42,Data Scientist – Lyon (F/H),Novencia,Lyon (69),PostedOffre publiée il y a 3 jour,9,147,
43,Data Scientist/Data Engineer,VESPERIA,Paris (75),PostedOffre publiée il y a 6 jour,9,148,De 50 000 € à 65 000 € par an
44,Data Scientist H/F senior,CAERUS MEDICAL,Télétravail hybride à 75015 Paris 15e,EmployerEmployeur actif il y a 21 jours,9,149,De 30 000 € à 60 000 € par an
45,Data Scientist (F/H) Lyon Part-Dieu,Konecranes,Lyon (69),PostedOffre publiée il y a 25 jour,10,150,
46,Data Scientist – Machine und Deep learning (M/F),DAVIDSON,Boulogne-Billancourt (92),PostedOffre publiée il y a plus de 30 jours,10,151,
47,Stagiaire fin d'étude - Data Scientist F/H,Deloitte,La Défense (92),PostedOffre publiée il y a plus de 30 jours,10,152,
48,Data analyst projet F/H,Orano,92320 Châtillon,PostedOffre publiée il y a 2 jour,10,153,
49,Data Scientist junior H/F,Digiwide,Bordeaux (33),PostedOffre publiée il y a plus de 30 jours,10,154,
50,Data Scientist Junior,Xtramile,57000 Metz+1 location,PostedOffre publiée il y a plus de 30 jours,10,155,39 000 € par an
51,"Data Scientist (full time, all seniority levels) - QuantumBlack",McKinsey & Company,75008 Paris,PostedOffre publiée il y a plus de 30 jours,10,156,
52,DATA SCIENTIST,Wizaly,Paris 17e (75),PostedOffre publiée il y a plus de 30 jours,10,157,
53,Product Data Scientist Intern,Criteo,Télétravail hybride à Paris (75),PostedOffre publiée il y a plus de 30 jours,10,158,
54,Junior Analytics Engineer - Data Capabilities,BlaBlaCar,Télétravail à Paris (75),PostedOffre publiée il y a 12 jour,10,159,
55,Data scientist,FABDEV,75015 Paris,PostedOffre publiée il y a plus de 30 jours,10,160,
56,AI/ML Data Scientist (Telecoms),MBR Partners,Paris (75),PostedOffre publiée il y a plus de 30 jours,10,161,
57,Data Scientist Position,PARIS-SACLAY CENTER FOR DATA SCIENCE,Orsay (91),PostedOffre publiée il y a plus de 30 jours,10,162,
58,Data Scientist,Fideliz,75009 Paris,PostedOffre publiée il y a plus de 30 jours,10,163,
59,Data Science,Schlumberger,Montpellier (34),PostedOffre publiée il y a 2 jour,10,164,
60,CDI - Data Analyst H/F/X - YVES ROCHER,Groupe Rocher,92130 Issy-les-Moulineaux,PostedOffre publiée il y a 25 jour,11,165,
61,Neuronal Data scientist,Institut du Cerveau et de la Moelle Épinière,75013 Paris,PostedOffre publiée il y a plus de 30 jours,11,166,
62,Innovation / R&D / Data Sciences_Modèle d'offre d'emploi,SUEZ,92040 Courbevoie,PostedOffre publiée il y a plus de 30 jours,11,167,
63,DATA SCIENTIST F/H,Caisse des Dépôts,Paris (75),PostedOffre publiée il y a plus de 30 jours,11,168,
64,Analyste quantitatif notation / Data scientist F/H,Bpifrance,94710 Maisons-Alfort,PostedOffre publiée il y a 25 jour,11,169,
65,Data Scientist Freelance (IT) / Freelance,Lawrence Harvey (LHI group limited),Paris (75),PostedOffre publiée il y a 4 jour,11,170,
66,Data Scientist / Analyse P&ID - stage H/F,ECP - Euro Contrôle Projet,Courbevoie (92),PostedOffre publiée il y a 10 jour,11,171,
67,Data Analyst H/F,McDonald's France,78280 Guyancourt,PostedOffre publiée il y a 9 jour,11,172,
68,Data Scientist- ML Engineers H/F,TOTAL DIGITAL FACTORY,Paris (75),PostedOffre publiée il y a plus de 30 jours,11,173,
69,Stage - Data Analyst H/F,SUEZ,92040 Courbevoie,PostedOffre publiée il y a plus de 30 jours,11,174,
70,R&D Data Scientist - CDI,Descartes Underwriting,Télétravail hybride à 75017 Paris,PostedOffre publiée il y a plus de 30 jours,11,175,
71,Intern - Junior Computer Scientist / Data Scientist,SOPHiA GENETICS,Bidart (64),PostedOffre publiée il y a 25 jour,11,176,
72,Consultant Citizen Data Scientist (2 ans d'expérience minimum) - F/H/N,OCTO Technology,75002 Paris,PostedOffre publiée il y a 3 jour,11,177,
73,Stage - Data Scientist - SBS - Paris/ UK,Sopra Banking Software,75016 Paris,PostedOffre publiée il y a 11 jour,11,178,
74,Data analyst en alternance (H/F) - Boulogne-Billancourt,Cegedim,92100 Boulogne-Billancourt,PostedOffre publiée il y a 2 jour,11,179,
75,Stage - Data Analyst/ Business Analyst H/F,Nestle,75015 Paris 15e,PostedOffre publiée il y a plus de 30 jours,12,180,
76,Data Analyst Programmatique,Numberly,75009 Paris,PostedOffre publiée il y a 13 jour,12,181,
77,Data analyst junior H/F,SIACI SAINT HONORE,Paris (75),PostedOffre publiée il y a plus de 30 jours,12,182,
78,Data analyst (H/F) - stage,Saint Gobain,92096 Courbevoie,PostedOffre publiée il y a 16 jour,12,183,
